Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mens-blue-dementors-graphic-printed-t-shirt,Men's  Blue Dementors Graphic Printed T-shirt,<p>Men Blue Regular Fit Graphic Print (Bewakoof X Harry Potter) Men's  Blue Dementors Graphic Printed T-shirt | Bundle: Buy 3 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Blue</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof X Harry Potter</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Bewakoof X Harry Potter, Blue, Graphic Print, Harry, Men, Potter, Regular Fit, T-Shirt, X",true,Size,S,,,,,,,,BWK-BEWA-589152-S,250,shopify,100,deny,manual,549.00,1149.00,true,true,,https://images.bewakoof.com/t640/men-s-blue-dementors-graphic-printed-t-shirt-589152-1755510033-1.gif,1,Men's  Blue Dementors Graphic Printed T-shirt,false,Men's  Blue Dementors Graphic Printed T-shirt,Men Blue Regular Fit Graphic Print (Bewakoof X Harry Potter) Men's  Blue Dementors Graphic Printed T-shirt | Bundle: Buy 3 for 1199,,g,,,active
mens-blue-dementors-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-589152-M,250,shopify,100,deny,manual,549.00,1149.00,true,true,,,,,,,,,g,,,
mens-blue-dementors-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-589152-L,250,shopify,100,deny,manual,549.00,1149.00,true,true,,,,,,,,,g,,,
mens-blue-dementors-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-589152-XL,250,shopify,100,deny,manual,549.00,1149.00,true,true,,,,,,,,,g,,,
mens-blue-dementors-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-589152-2XL,250,shopify,100,deny,manual,549.00,1149.00,true,true,,,,,,,,,g,,,
mens-blue-dementors-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-589152-3XL,250,shopify,100,deny,manual,549.00,1149.00,true,true,,,,,,,,,g,,,
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,Men's  Beige & Grey Batman Graphic Printed Ombre Oversized T-shirt,<p>Men Beige Oversized Fit Graphic Print (Bewakoof X DC) Men's  Beige & Grey Batman Graphic Printed Ombre Oversized T-shirt | Bundle: Buy 3 get 10% off</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Beige</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Oversized Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof X DC</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Beige, Bewakoof, Bewakoof X DC, Dc, Graphic Print, Men, Oversized Fit, T-Shirt, X",true,Size,S,,,,,,,,BWK-BEWA-617004-S,250,shopify,100,deny,manual,899.00,1399.00,true,true,,https://images.bewakoof.com/t640/617004_2025-12-12t12-37-57_1.jpg,1,Men's  Beige & Grey Batman Graphic Printed Ombre Oversized T-shirt,false,Men's  Beige & Grey Batman Graphic Printed Ombre Oversized T-shirt,Men Beige Oversized Fit Graphic Print (Bewakoof X DC) Men's  Beige & Grey Batman Graphic Printed Ombre Oversized T-shirt | Bundle: Buy 3 get 10% off,,g,,,active
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-617004-M,250,shopify,100,deny,manual,899.00,1399.00,true,true,,,,,,,,,g,,,
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-617004-L,250,shopify,100,deny,manual,899.00,1399.00,true,true,,,,,,,,,g,,,
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-617004-XL,250,shopify,100,deny,manual,899.00,1399.00,true,true,,,,,,,,,g,,,
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-617004-2XL,250,shopify,100,deny,manual,899.00,1399.00,true,true,,,,,,,,,g,,,
mens-beige-grey-batman-graphic-printed-ombre-oversized-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-617004-3XL,250,shopify,100,deny,manual,899.00,1399.00,true,true,,,,,,,,,g,,,
mens-chocolate-brown-just-do-it-typography-oversized-t-shirt,Men's Chocolate Brown Just Do It Typography Oversized T-shirt,<p>Men Brown Oversized Fit Typography (Bewakoof) Men's Chocolate Brown Just Do It Typography Oversized T-shirt | Bundle: Buy 2 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Brown</li><li><strong>Design:</strong> Typography</li><li><strong>Fit:</strong> Oversized Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Brown, Men, Oversized Fit, T-Shirt, Typography",true,Size,S,,,,,,,,BWK-BEWA-671012-S,250,shopify,100,deny,manual,649.00,1899.00,true,true,,https://images.bewakoof.com/t640/men-s-chocolate-brown-just-do-it-graphic-printed-oversized-t-shirt-671012-1744721949-1.jpg,1,Men's Chocolate Brown Just Do It Typography Oversized T-shirt,false,Men's Chocolate Brown Just Do It Typography Oversized T-shirt,Men Brown Oversized Fit Typography (Bewakoof) Men's Chocolate Brown Just Do It Typography Oversized T-shirt | Bundle: Buy 2 for 1199,,g,,,active
mens-chocolate-brown-just-do-it-typography-oversized-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-671012-M,250,shopify,100,deny,manual,649.00,1899.00,true,true,,,,,,,,,g,,,
mens-chocolate-brown-just-do-it-typography-oversized-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-671012-L,250,shopify,100,deny,manual,649.00,1899.00,true,true,,,,,,,,,g,,,
mens-chocolate-brown-just-do-it-typography-oversized-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-671012-XL,250,shopify,100,deny,manual,649.00,1899.00,true,true,,,,,,,,,g,,,
mens-chocolate-brown-just-do-it-typography-oversized-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-671012-2XL,250,shopify,100,deny,manual,649.00,1899.00,true,true,,,,,,,,,g,,,
mens-green-letters-from-past-graphic-printed-t-shirt,Men's Green Letters From Past Graphic Printed T-shirt,<p>Men Green Regular Fit Graphic Print (Bewakoof) Men's Green Letters From Past Graphic Printed T-shirt | Bundle: Buy 3 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Green</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Graphic Print, Green, Men, Regular Fit, T-Shirt",true,Size,S,,,,,,,,BWK-BEWA-684251-S,250,shopify,100,deny,manual,499.00,1399.00,true,true,,https://images.bewakoof.com/t640/men-s-green-letters-from-past-graphic-printed-t-shirt-684251-1749733830-1.jpg,1,Men's Green Letters From Past Graphic Printed T-shirt,false,Men's Green Letters From Past Graphic Printed T-shirt,Men Green Regular Fit Graphic Print (Bewakoof) Men's Green Letters From Past Graphic Printed T-shirt | Bundle: Buy 3 for 1199,,g,,,active
mens-green-letters-from-past-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-684251-M,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-green-letters-from-past-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-684251-L,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-green-letters-from-past-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-684251-XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-green-letters-from-past-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-684251-2XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-green-letters-from-past-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-684251-3XL,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-black-the-other-side-graphic-printed-t-shirt,Men's  Black The Other Side Graphic Printed T-shirt,<p>Men Black Regular Fit Graphic Print Men's  Black The Other Side Graphic Printed T-shirt | Bundle: Buy 3 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Black</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Black, Graphic Print, Men, Regular Fit, T-Shirt",true,Size,S,,,,,,,,BWK-BEWA-541526-S,250,shopify,100,deny,manual,499.00,1099.00,true,true,,https://images.bewakoof.com/t640/men-s-black-the-other-side-graphic-printed-t-shirt-541526-1744373867-1.jpg,1,Men's  Black The Other Side Graphic Printed T-shirt,false,Men's  Black The Other Side Graphic Printed T-shirt,Men Black Regular Fit Graphic Print Men's  Black The Other Side Graphic Printed T-shirt | Bundle: Buy 3 for 1199,,g,,,active
mens-black-the-other-side-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-541526-M,250,shopify,100,deny,manual,499.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-the-other-side-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-541526-L,250,shopify,100,deny,manual,499.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-the-other-side-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-541526-XL,250,shopify,100,deny,manual,499.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-the-other-side-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-541526-2XL,250,shopify,100,deny,manual,499.00,1099.00,true,true,,,,,,,,,g,,,
mens-black-the-other-side-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-541526-3XL,250,shopify,100,deny,manual,499.00,1099.00,true,true,,,,,,,,,g,,,
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,Men's Fiesta Red Mickey Graphic Printed Oversized T-shirt,<p>Men Red Oversized Fit Graphic Print (Bewakoof X Disney) Men's Fiesta Red Mickey Graphic Printed Oversized T-shirt | Bundle: Buy 3 get 10% off</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Red</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Oversized Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof X Disney</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Bewakoof X Disney, Disney, Graphic Print, Men, Oversized Fit, Red, T-Shirt, X",true,Size,S,,,,,,,,BWK-BEWA-661999-S,250,shopify,100,deny,manual,899.00,,true,true,,https://images.bewakoof.com/t640/men-s-fiesta-red-mickey-graphic-printed-oversized-t-shirt-661999-1761746842-1.jpg,1,Men's Fiesta Red Mickey Graphic Printed Oversized T-shirt,false,Men's Fiesta Red Mickey Graphic Printed Oversized T-shirt,Men Red Oversized Fit Graphic Print (Bewakoof X Disney) Men's Fiesta Red Mickey Graphic Printed Oversized T-shirt | Bundle: Buy 3 get 10% off,,g,,,active
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-661999-M,250,shopify,100,deny,manual,899.00,,true,true,,,,,,,,,g,,,
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-661999-L,250,shopify,100,deny,manual,899.00,,true,true,,,,,,,,,g,,,
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-661999-XL,250,shopify,100,deny,manual,899.00,,true,true,,,,,,,,,g,,,
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-661999-2XL,250,shopify,100,deny,manual,899.00,,true,true,,,,,,,,,g,,,
mens-fiesta-red-mickey-graphic-printed-oversized-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-661999-3XL,250,shopify,100,deny,manual,899.00,,true,true,,,,,,,,,g,,,
mens-grey-uncharted-graphic-printed-t-shirt,Men's  Grey Uncharted Graphic Printed T-shirt,<p>Men Grey Regular Fit Graphic Print (Bewakoof) Men's  Grey Uncharted Graphic Printed T-shirt | Bundle: Buy 3 get 10% off</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Grey</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Graphic Print, Grey, Men, Regular Fit, T-Shirt",true,Size,S,,,,,,,,BWK-BEWA-685571-S,250,shopify,100,deny,manual,599.00,1399.00,true,true,,https://images.bewakoof.com/t640/men-s-grey-uncharted-graphic-printed-t-shirt-685571-1755163388-1.jpg,1,Men's  Grey Uncharted Graphic Printed T-shirt,false,Men's  Grey Uncharted Graphic Printed T-shirt,Men Grey Regular Fit Graphic Print (Bewakoof) Men's  Grey Uncharted Graphic Printed T-shirt | Bundle: Buy 3 get 10% off,,g,,,active
mens-grey-uncharted-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-685571-M,250,shopify,100,deny,manual,599.00,1399.00,true,true,,,,,,,,,g,,,
mens-grey-uncharted-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-685571-L,250,shopify,100,deny,manual,599.00,1399.00,true,true,,,,,,,,,g,,,
mens-grey-uncharted-graphic-printed-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-685571-XL,250,shopify,100,deny,manual,599.00,1399.00,true,true,,,,,,,,,g,,,
